name,balance,tag,url
RavenDAO,10.96,Fund,/explorer/entity/ravendao
Madlotte Fund,10.45,Fund,/explorer/entity/madlotte-fund
Eterna Capital,9.81,Fund,/explorer/entity/eterna-capital
Nirvana Capital,9.53,Fund,/explorer/entity/nirvana-capital
Ruffer Investment Company,6.07,Fund,/explorer/entity/ruffer-investment-company
JKL Group,6.05,Fund,/explorer/entity/jkl-group
Shirley McNamee Revocable Living Trust,5.47,Fund,/explorer/entity/shirley-mcnamee-revocable-living-trust
Shima Capital,5.19,Fund,/explorer/entity/shima-capital
Trovio,4.14,Fund,/explorer/entity/trovio
Chater Legend,2.58,Fund,/explorer/entity/chater-legend
QuantBlock,2.57,Fund,/explorer/entity/quantblock
Dahret Group,2.53,Fund,/explorer/entity/dahret-group
Adonai Professional Services,2.28,Fund,/explorer/entity/adonai-professional-services
Miton,2.20,Fund,/explorer/entity/miton
Cole Capital,2.19,Fund,/explorer/entity/cole-capital
Magnet Capital,2.11,Fund,/explorer/entity/magnet-capital
Dexterity Capital,2.07,Fund,/explorer/entity/dexterity-capital
Antelope Technology,1.42,Fund,/explorer/entity/antelope-technology
Point 95 Global,1.31,Fund,/explorer/entity/point95-global
Niederhoffer Capital Management,1.20,Fund,/explorer/entity/niederhoffer-capital-mgmt
Kwantum Advisory,1.20,Fund,/explorer/entity/kwantum-advisory
Parallel Capital,1.11,Fund,/explorer/entity/parallel-capital
Simuka Solutions,1.10,Fund,/explorer/entity/simuka-solutions
168 Trading,1.00,Fund,/explorer/entity/168-trading
B-Brick,0.99,Fund,/explorer/entity/b-brick-inc
Fourth Revolution Capital,0.86,Fund,/explorer/entity/fourth-revolution-capital
Fidelity FETH ETF Inflows,0.81,Fund,/explorer/entity/fidelity-ethereum-etf
"The Charles W. Gardner Living Trust Dated March 18, 2020",0.77,Fund,/explorer/entity/the-charles-w-gardner-living-trust-dated-march-18-2020
Alven Jerome Kroot Agreement Of Trust,0.76,Fund,/explorer/entity/alven-jerome-kroot-agreement-of-trust-dated-july-16-1990-amended
Bradford Group,0.76,Fund,/explorer/entity/bradford-group
Knightlight Asset Advisory,0.75,Fund,/explorer/entity/knightlight-asset-advisory
The MSL Family Trust,0.74,Fund,/explorer/entity/the-msl-family-trust
Daedalus,0.74,Fund,/explorer/entity/daedalus-angels
The Trustee For Carroll Milton Super Fund,0.73,Fund,/explorer/entity/the-trustee-for-carroll-milton-super-fund
Siddhartha Super ATF Colagiuri Superfund,0.73,Fund,/explorer/entity/siddhartha-super-atf-colagiuri-superfund
Amelyore Digital Assets Fund,0.73,Fund,/explorer/entity/amelyore-digital-assets-fund
Nuovotech,0.70,Fund,/explorer/entity/nuovotech
Lipkis Family,0.69,Fund,/explorer/entity/lipkis-family
Wahl Coats Investments,0.67,Fund,/explorer/entity/wahl-coats-investments
Weave Markets,0.66,Fund,/explorer/entity/weave-markets
Hewitt Family Superannuation Fund,0.65,Fund,/explorer/entity/hewitt-family-superannuation-fund
Rdavila II RD,0.65,Fund,/explorer/entity/rdavila-ii-rd
Geometric Quant Alpha Fund,0.63,Fund,/explorer/entity/geometric-quant-alpha-fund
Hashed,0.63,Fund,/explorer/entity/hashed
Ross H. Hadfield Trust,0.62,Fund,/explorer/entity/ross-h-hadfield-trust
Hackerdad,0.60,Fund,/explorer/entity/hackerdad
Ppecora Ddo,0.60,Fund,/explorer/entity/ppecora-ddo
Kktd Management Sub-1,0.59,Fund,/explorer/entity/kktd-management-sub-1
The Trustee Of The Grove Super Family Fund,0.58,Fund,/explorer/entity/the-trustee-of-the-grove-super-family-fund
My Holdings,0.58,Fund,/explorer/entity/my-holdings
Thomas Carruthers Auseng Super,0.58,Fund,/explorer/entity/thomas-carruthers-auseng-super
Twmt,0.58,Fund,/explorer/entity/twmt
